2013-12-16 15:55:46 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-16 15:55:46 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-16 15:55:55 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 192]
2013-12-16 15:55:55 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 207]
2013-12-16 15:55:55 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-16 15:55:55 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-16 15:56:06 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 192]
2013-12-16 15:56:06 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 207]
2013-12-16 15:56:06 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-16 15:56:06 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-16 15:56:15 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 192]
2013-12-16 15:56:15 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 207]
2013-12-16 15:56:15 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-16 15:56:15 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-16 15:56:25 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 192]
2013-12-16 15:56:25 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 207]
2013-12-16 15:56:25 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-16 15:56:25 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-16 16:34:27 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-16 16:44:11 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
